ads_type,agency,agency_name,area,bedrooms,city,description,is_available,land_surface,origin,others,photos,postal_code,price,property_type,public_url,rooms,site_id,title,url,website
,True,Kwfrance,94,4,GUYANCOURT,"APPARTEMENT DUPLEX 5 PIÈCES AVEC BALCON

En vente : à GUYANCOURT (78280) découvrez cet appartement en Duplex T5 de 94 m².

Il se situe au 2e étage d'un petit immeuble de trois étages. Cet appartement inclut une cuisine indépendante, aménagée et équipée.

Un balcon offre à ce bien de l'espace supplémentaire bienvenu.

Ce bien est mis en vente avec une place de parking.

Il se trouve dans la commune de Guyancourt. Des écoles de tous types sont implantées à moins de 10 minutes de l'appartement. Côté transports en commun, il y a une gare à quelques pas du bien. Pour vos loisirs, vous pourrez compter sur le cinéma UGC Ciné Cite Sqy Ouest de même qu'un théâtre à quelques pas du logement. On trouve aussi de nombreux restaurants et un bureau de poste. Enfin 2 marchés animent le quartier.

Envie d'en savoir plus sur cet appartement à vendre ? Prenez contact avec Clément GIlot KW TRIANON au 07 69 36 70 02.

*** Visite virtuelle disponible ***

Clément Gilot - Agent Commercial immatriculé au RSAC du Tribunal de Commerce de Chartres sous le numéro 825254899.",True,,"{'spider': 'kwfrance', 'added_from': 'SCRAPY', 'ref': 'https://kwfrance.com/result/index?view_type=list&btn_votre_projet_text=Location+-+Appartement+%28%2B5%29&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Btransaction_ides%5D%5B%5D=1&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=1&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=2&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=4&PropertieSearch%5Bprogramme&page=1&per-page=12', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 52, 1, 105820)}","{'assets': ['DPE E 310', 'GES B 10', 'Type de bien Appartement', 'Année de construction 1983', 'WC indépendants 2', 'Chambre(s) 4', 'Salle(s) de bain(s) 1', 'Ascenseur Non', 'Nombre de lots 172', 'Charges courantes par an 1 836 €']}","https://kwfrance.com/uploads/market-center/415/property/197753/61e6a0756366c.jpg,https://kwfrance.com/uploads/market-center/415/property/197753/61e6a0713646e.jpg,https://kwfrance.com/uploads/market-center/415/property/197753/61e6a0749487d.jpg,https://kwfrance.com/uploads/market-center/415/property/197753/61e6a072c3014.jpg,https://kwfrance.com/uploads/market-center/415/property/197753/61e6a073a78f9.jpg,https://kwfrance.com/uploads/market-center/415/property/197753/61e6a07013a68.jpg,https://kwfrance.com/uploads/market-center/415/property/197753/61e6a06f0da76.jpg,https://kwfrance.com/uploads/market-center/415/property/197753/61e6a072036c2.jpg",78280,299000,,https://kwfrance.com/property/96420,5,96420,Appartement - Guyancourt - 5piece(s) - 299 000€ | Keller Williams France,https://kwfrance.com/property/96420,kwfrance.com
,True,Kwfrance,100,2,LABASTIDE ST PIERRE,"Venez découvrir cette maison de plain-pied d'environ 100 m² avec combles aménageables, située à LABASTIDE ST PIERRE (82370) dans un quartier calme (proximité de tous commerces, école).
Elle est composée d'une entrée avec salle à manger, salon, cuisine, 2 chambres, d'une grande buanderie (possibilité 3ème chambre), d'un WC indépendant et d'une salle de bain.
Travaux de rafraichissements à prévoir.

Un charmant jardin intimiste de 1 080 m² et un garage indépendant complètent le bien.

Prenez contact avec votre agence KW ADVANCE pour une première visite de cette maison à vendre.",True,1080,"{'spider': 'kwfrance', 'added_from': 'SCRAPY', 'ref': 'https://kwfrance.com/result/index?view_type=list&btn_votre_projet_text=Location+-+Appartement+%28%2B5%29&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Btransaction_ides%5D%5B%5D=1&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=1&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=2&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=4&PropertieSearch%5Bprogramme&page=1&per-page=12', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 52, 1, 105820)}","{'assets': ['DPE E 289', 'GES E 58', 'Type de bien Maison', 'Surface terrain (m2) 1 080.00', 'WC indépendants 1', 'Chambre(s) 2', 'Ascenseur Non']}","https://kwfrance.com/uploads/market-center/369/property/227983/628c9c8c297b5.jpg,https://kwfrance.com/uploads/market-center/369/property/227983/628c9c8c4109e.jpg,https://kwfrance.com/uploads/market-center/369/property/227983/628c9c8b94a70.jpg,https://kwfrance.com/uploads/market-center/369/property/227983/628c9c8bab0f2.jpg,https://kwfrance.com/uploads/market-center/369/property/227983/628c9c8c12c94.jpg,https://kwfrance.com/uploads/market-center/369/property/227983/628c9c8bd94ee.jpg,https://kwfrance.com/uploads/market-center/369/property/227983/628c9c8b7c3b2.jpg,https://kwfrance.com/uploads/market-center/369/property/227983/628c9c8bc20a4.jpg,https://kwfrance.com/uploads/market-center/369/property/227983/628c9c8bef365.jpg",82370,249000,,https://kwfrance.com/property/105718,4,105718,Maison - Labastide st pierre - 4piece(s) - 249 000€ | Keller Williams France,https://kwfrance.com/property/105718,kwfrance.com
,True,Kwfrance,111,4,MARSEILLE 10,"DERNIER ÉTAGE - GRAND APPARTEMENT 5 PIÈCES secteur Romain Rolland / St Tronc.

À vendre : dans le 10e arrondissement de Marseille (13010) venez découvrir cet appartement de 5 pièces de 89,03 m² situé au quatrième et dernier étage sans ascenseur d'une copropriété agréable .

Il se décompose comme suit :
*Un hall d'entrée spacieux et fonctionnel avec dressing
*Une cuisine indépendante et équipée
*Un salon lumineux donnant sur une agréable terrasse
*Quatre chambres
*Une grande salle d'eau et ses toilettes séparés
*Deux balcons

L'appartement propose de belles prestations comme le double vitrage, les volets roulants électriques, la climatisation dans chaque pièce, le gardien pour la résidence fermée sécurisée ainsi qu'une cave .

Proche de tous commerces, écoles et commodités de transport, venez découvrir ce bien au plus vite.

Taxe foncière : 1207 €
Charges annuelles : 2950 €

Contactez nous au plus vite  :

Béatrice GOMES RSAC 882 830 243 au 06 63 08 76 47 ou mail beatrice.gomes@kwfrance.com - ET -
Bédélia TARNUS RSAC 900 863 994 au 06 46 62 38 83 ou mail bedelia.tarnus@kwfrance.com



",True,,"{'spider': 'kwfrance', 'added_from': 'SCRAPY', 'ref': 'https://kwfrance.com/result/index?view_type=list&btn_votre_projet_text=Location+-+Appartement+%28%2B5%29&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Btransaction_ides%5D%5B%5D=1&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=1&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=2&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=4&PropertieSearch%5Bprogramme&page=1&per-page=12', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 52, 1, 105820)}","{'assets': ['DPE E 284', 'GES E 61', 'Type de bien Appartement', 'Taxe Foncière 1 207.00 €/an', 'Chambre(s) 4', 'Ascenseur Non', 'Nombre de lots 90', 'Charges courantes par an 2 952 €']}","https://kwfrance.com/uploads/market-center/420/property/227966/628e4953404dc.jpg,https://kwfrance.com/uploads/market-center/420/property/227966/628e5110ee83c.jpg,https://kwfrance.com/uploads/market-center/420/property/227966/628e51128a069.jpg,https://kwfrance.com/uploads/market-center/420/property/227966/628e49503c7cf.jpg,https://kwfrance.com/uploads/market-center/420/property/227966/628e51152b630.jpg,https://kwfrance.com/uploads/market-center/420/property/227966/628e5111a23e0.jpg,https://kwfrance.com/uploads/market-center/420/property/227966/628e495101542.jpg,https://kwfrance.com/uploads/market-center/420/property/227966/628e511044f10.jpg,https://kwfrance.com/uploads/market-center/420/property/227966/628e51140a04e.jpg,https://kwfrance.com/uploads/market-center/420/property/227966/628e51134e753.jpg,https://kwfrance.com/uploads/market-center/420/property/227966/628e5115ed4ee.jpg",13010,176500,,https://kwfrance.com/property/105663,5,105663,Appartement - Marseille 10 - 5piece(s) - 176 500€ | Keller Williams France,https://kwfrance.com/property/105663,kwfrance.com
,True,Kwfrance,86,2,LANTOSQUE,"Dans le paisible village de Lantosque,

Au sein d'une petite copropriété en très bon état.
Venez découvrir ce très appartement 3 pièces de 60 m² comprenant une vaste pièce de vie de 35 m² composé d'une cuisine ouverte entièrement aménagée et équipée et d'un séjour donnant sur un petit extérieur. Pour la partie nuit elle se compose de deux chambres, d'une salle d'eau et d'un W.C indépendant.
Un garage fermé est à votre disposition.
L'environnement de celui-ci est reposant, vous bénéficierez d'une vue dégagée sur la nature les montagnes et la Vésubie.
Le village avec toutes ses commodités se trouve à peine à 10 m à pieds.

N'hésitez pas à contacter votre agent keller Williams Massena, Jean-Baptiste GRAUET 06.64.99.86.36


",True,,"{'spider': 'kwfrance', 'added_from': 'SCRAPY', 'ref': 'https://kwfrance.com/result/index?view_type=list&btn_votre_projet_text=Location+-+Appartement+%28%2B5%29&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Btransaction_ides%5D%5B%5D=1&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=1&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=2&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=4&PropertieSearch%5Bprogramme&page=1&per-page=12', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 52, 1, 105820)}","{'assets': ['DPE 270 e', 'GES 14 c', 'Type de bien Appartement', 'Taxe Foncière 295.00 €/an', 'WC indépendants 1', 'Chambre(s) 2', 'Ascenseur Non', 'Nombre de lots 6', 'Charges courantes par an 30 €']}","https://kwfrance.com/uploads/market-center/368/property/227935/628de8da14963.jpg,https://kwfrance.com/uploads/market-center/368/property/227935/628de8d1bac73.jpg,https://kwfrance.com/uploads/market-center/368/property/227935/628de8d75cb8b.jpg,https://kwfrance.com/uploads/market-center/368/property/227935/628de8c6735e2.jpg,https://kwfrance.com/uploads/market-center/368/property/227935/628de8cc34994.jpg,https://kwfrance.com/uploads/market-center/368/property/227935/628de8d48f00a.jpg,https://kwfrance.com/uploads/market-center/368/property/227935/628de8d04f197.jpg,https://kwfrance.com/uploads/market-center/368/property/227935/628de8cee6147.jpg,https://kwfrance.com/uploads/market-center/368/property/227935/628de8caaa89a.jpg,https://kwfrance.com/uploads/market-center/368/property/227935/628de8cd8d080.jpg,https://kwfrance.com/uploads/market-center/368/property/227935/628de8d8b9924.jpg,https://kwfrance.com/uploads/market-center/368/property/227935/628de8c7bd3d1.jpg,https://kwfrance.com/uploads/market-center/368/property/227935/628de8d3294b3.jpg,https://kwfrance.com/uploads/market-center/368/property/227935/628de8c920391.jpg,https://kwfrance.com/uploads/market-center/368/property/227935/628de8d5e8c5f.jpg",06450,162000,,https://kwfrance.com/property/105679,3,105679,Appartement - Lantosque - 3piece(s) - 162 000€ | Keller Williams France,https://kwfrance.com/property/105679,kwfrance.com
,True,Kwfrance,45,,LUCE,"EXCLUSIVITÉ KELLER WILLIAMS - APPARTEMENT 2 PIÈCES PROCHE CHARTRES

À vendre : dans la ville de LUCÉ (28110), à deux pas de Chartres, découvrez cet appartement de 2 pièces de 45,42 m² Carrez de la résidence Séniors ""Les Sénioriales"".

IDÉAL INVESTISSEUR et/ou SÉNIORS

Il est situé au 3e étage dans une résidence Sénior de cinq étages. Cet appartement possède un séjour spacieux et lumineux. Il inclut également une chambre et une cuisine aménagée et équipée.

La résidence ""Les Sénioriales"" vous offre de nombreux services dont un restaurant, un accès au jardin, et du personnel à votre disposition. Espace bibliothèque, écran géant. Gardien 24h/24, 7j/7 et 365j/an. Les charges sont d'environ 2 600 euros à l'année.

Pour profiter des beaux jours, cet appartement dispose d'un balcon.

Tout est prévu pour les véhicules : parmi les emplacements disponibles dans l'immeuble, une place de parking est réservée pour l'appartement.

Investissement locatif : le bien est vendu loué 693,02 €cc/mois. Bail en cours depuis juillet 2020. Tous paiements à jour.

Le bien est situé dans la commune de LUCÉ. Il y a des écoles de tous niveaux à moins de 10 minutes. Pour vos loisirs, vous pourrez compter sur un théâtre et un conservatoire. On trouve également de nombreux restaurants, un institut universitaire et un bureau de poste à quelques minutes du logement.

Pour en savoir plus, n'hésitez pas à me contacter, je me ferais un plaisir de répondre à vos questions et vous accompagner dans votre projet. Vous pouvez me joindre au 07 83 97 43 29.
Shawn ROCHARD, immatriculé au Registre Spécial des Agents Commerciaux du Tribunal de Commerce d'Évry sous le numéro 820 774 701.",True,,"{'spider': 'kwfrance', 'added_from': 'SCRAPY', 'ref': 'https://kwfrance.com/result/index?view_type=list&btn_votre_projet_text=Location+-+Appartement+%28%2B5%29&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Btransaction_ides%5D%5B%5D=1&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=1&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=2&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=4&PropertieSearch%5Bprogramme&page=1&per-page=12', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 52, 1, 105820)}","{'assets': ['DPE C 115', 'GES A 3', 'Type de bien Appartement', 'WC indépendants 1', 'Chambre(s) 1', 'Ascenseur Non']}","https://kwfrance.com/uploads/market-center/430/property/227952/62836c6ee5a1b.jpg,https://kwfrance.com/uploads/market-center/430/property/227952/62836c720681d.jpg,https://kwfrance.com/uploads/market-center/430/property/227952/62836c6d194ac.jpg,https://kwfrance.com/uploads/market-center/430/property/227952/62836c690111e.jpg,https://kwfrance.com/uploads/market-center/430/property/227952/62836c6960543.jpg,https://kwfrance.com/uploads/market-center/430/property/227952/62836c689bf25.jpg,https://kwfrance.com/uploads/market-center/430/property/227952/62836c6e2beb9.jpg,https://kwfrance.com/uploads/market-center/430/property/227952/62836c69c09bf.jpg",28110,146730,,https://kwfrance.com/property/105333,2,105333,Appartement - Luce - 2piece(s) - 146 730€ | Keller Williams France,https://kwfrance.com/property/105333,kwfrance.com
,True,Kwfrance,28,,SAINT RAPHAEL,"RARE - PROCHE CENTRE VILLE SAINT RAPHAEL et GARE SCNF

En vente : découvrez cet appartement studio de 28 m², récemment rénové avec cuisine équipée, douche italienne et nombreux rangements.
Idéal pour investissement locatif annuel ou saisonnier.

Cet appartement se situe au 2e et dernier étage sans ascenseur d'une petite résidence à proximité de commerces et commodités.

Garage et place de parking en option...

Ce bien se trouve à 10 mn de la gare SNCF de Saint-Raphael et des villes de Fréjus, Cannes, Nice, Saint Tropez ou encore Saint Maxime.

Votre agence vous invite à découvrir toutes les originalités de cet appartement à vendre en prenant rendez-vous avec l'un de nos négociateurs immobiliers:

Cedric MAUCHAMP (e.i)
0625349371
cedric.mauchamp@kwfrance.com

Radouane HAMIDI (e.i)
0673115159
radouane.hamidi@kwfrance.com",True,,"{'spider': 'kwfrance', 'added_from': 'SCRAPY', 'ref': 'https://kwfrance.com/result/index?view_type=list&btn_votre_projet_text=Location+-+Appartement+%28%2B5%29&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Btransaction_ides%5D%5B%5D=1&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=1&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=2&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=4&PropertieSearch%5Bprogramme&page=1&per-page=12', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 52, 1, 105820)}","{'assets': ['DPE 260 e', 'GES 8 b', 'Type de bien Appartement', 'Ascenseur Non']}","https://kwfrance.com/uploads/market-center/439/property/227927/628c86fd11dda.jpg,https://kwfrance.com/uploads/market-center/439/property/227927/628c86fcc8749.jpg,https://kwfrance.com/uploads/market-center/439/property/227927/628c86fd4c92e.jpg",83700,102000,,https://kwfrance.com/property/105643,,105643,Appartement - Saint raphael - 1piece(s) - 102 000€ | Keller Williams France,https://kwfrance.com/property/105643,kwfrance.com
,True,Kwfrance,99,3,TOULOUSE,"- GRAND APPARTEMENT 4 PIÈCES

À vendre : dans l'agglomération de TOULOUSE (31000) découvrez cet appartement de 4 pièces de 99 m².

Il est situé au RDC d'un immeuble de bon standing. Il s'agit d'une copropriété de 18 lots. Cet appartement inclut trois chambres et une cuisine américaine. Il dispose aussi de deux SDE. Le chauffage du logement est géré par des radiants électriques.

Le bien se situe à cinq minutes des écoles. L'arrêt de bus se trouve à deux minutes de l'appartement. L'aéroport le plus proche se trouve à 8 km. Vous trouverez un théâtre et un conservatoire à quelques minutes du bien. Il y a également un institut universitaire, deux bureaux de poste et tout un panel de restaurants.

Cet appartement de 4 pièces est à vendre pour la somme de 429 000 €
Prenez contact avec votre agence  pour une première visite de cet appartement en vente.

",True,,"{'spider': 'kwfrance', 'added_from': 'SCRAPY', 'ref': 'https://kwfrance.com/result/index?view_type=list&btn_votre_projet_text=Location+-+Appartement+%28%2B5%29&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Btransaction_ides%5D%5B%5D=1&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=1&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=2&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=4&PropertieSearch%5Bprogramme&page=1&per-page=12', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 52, 1, 105820)}","{'assets': ['Type de bien Appartement', 'WC indépendants 1', 'Chambre(s) 3', 'Salle(s) de bain(s) 1', 'Ascenseur Non', 'Nombre de lots 24', 'Charges courantes par an 720 €']}","https://kwfrance.com/uploads/market-center/366/property/227933/61bc578aba41b.jpg,https://kwfrance.com/uploads/market-center/366/property/227933/628dd68f1a63f.jpg,https://kwfrance.com/uploads/market-center/366/property/227933/628dd68e3c2fa.jpg,https://kwfrance.com/uploads/market-center/366/property/227933/628dd6928d969.jpg,https://kwfrance.com/uploads/market-center/366/property/227933/628dd68fe8090.jpg,https://kwfrance.com/uploads/market-center/366/property/227933/628dd691ac971.jpg,https://kwfrance.com/uploads/market-center/366/property/227933/628dd6937536f.jpg,https://kwfrance.com/uploads/market-center/366/property/227933/628dd690cdad8.jpg",31000,429000,,https://kwfrance.com/property/105662,4,105662,Appartement - Toulouse - 4piece(s) - 429 000€ | Keller Williams France,https://kwfrance.com/property/105662,kwfrance.com
,True,Kwfrance,106,3,VILLE D AVRAY,"DERNIER ÉTAGE - TRÈS GRAND APPARTEMENT 4 PIÈCES

En vente : dans la petite ville de VILLE D AVRAY (92410) découvrez cet appartement T4 de 108,79 m². Il propose trois chambres et une cuisine indépendante, aménagée et équipée.

Cet appartement se situe au 1er et dernier étage d'un petit immeuble. Pour vos véhicules, ce bien est mis en vente avec une place de parking.

L'appartement se situe dans la commune de VILLE D AVRAY. Des établissements scolaires primaires sont implantés à moins de 10 minutes de l'appartement : l'École Élémentaire l'Aulnette et l'École Maternelle le Coteau. On trouve deux restaurants dans les environs. Enfin 2 marchés animent le quartier.

",True,,"{'spider': 'kwfrance', 'added_from': 'SCRAPY', 'ref': 'https://kwfrance.com/result/index?view_type=list&btn_votre_projet_text=Location+-+Appartement+%28%2B5%29&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Btransaction_ides%5D%5B%5D=1&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=1&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=2&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=4&PropertieSearch%5Bprogramme&page=1&per-page=12', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 52, 1, 105820)}","{'assets': ['DPE D 217', 'GES D 44', 'Type de bien Appartement', 'WC indépendants 1', 'Chambre(s) 3', 'Salle(s) de bain(s) 2', 'Ascenseur Non']}","https://kwfrance.com/uploads/market-center/320/property/227956/628e16c83338f.jpg,https://kwfrance.com/uploads/market-center/320/property/227956/628e198e1ca32.jpg,https://kwfrance.com/uploads/market-center/320/property/227956/628e16c8c2404.jpg,https://kwfrance.com/uploads/market-center/320/property/227956/628e16c822823.jpg,https://kwfrance.com/uploads/market-center/320/property/227956/628e16c7f230e.jpg,https://kwfrance.com/uploads/market-center/320/property/227956/628e198e0a069.jpg,https://kwfrance.com/uploads/market-center/320/property/227956/628e16c80fa3e.jpg,https://kwfrance.com/uploads/market-center/320/property/227956/628e198dee25f.jpg",92410,720000,,https://kwfrance.com/property/105705,4,105705,Appartement - Ville d avray - 4piece(s) - 720 000€ | Keller Williams France,https://kwfrance.com/property/105705,kwfrance.com
,True,Kwfrance,61,2,EVRY,"APPARTEMENT 2 PIÈCES AVEC JARDIN

À vendre dans la ville d'EVRY (91000) : appartement de 60,94 m².
Cet appartement de 2 pièces s'organise comme suit : un double séjour donnant sur le Jardin, une cuisine équipée, une chambre de 12m², une salle de bains refaite à neuf, WC et rangements. Ce bien comporte aussi un box au sous-sol.

À proximité de toutes commodités (dix minutes de la gare à pied, 7 lignes de bus, maternelles, primaire, collèges, restaurants, conservatoire et bureau de poste)

Pour plus de renseignements, contactez Majurran RAVEENDIRAN au 0760389381, immatriculée au Registre Spécial des Agents Commerciaux du Tribunal des Commerce d'Evry sous le numéro 843497728.


",True,,"{'spider': 'kwfrance', 'added_from': 'SCRAPY', 'ref': 'https://kwfrance.com/result/index?view_type=list&btn_votre_projet_text=Location+-+Appartement+%28%2B5%29&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Btransaction_ides%5D%5B%5D=1&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=1&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=2&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=4&PropertieSearch%5Bprogramme&page=1&per-page=12', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 18, 52, 1, 105820)}","{'assets': ['DPE D 221', 'GES C 22', 'Type de bien Appartement', 'Taxe Foncière 1 276.00 €/an', 'WC indépendants 1', 'Chambre(s) 1', 'Salle(s) de bain(s) 1', 'Ascenseur Non', 'Nombre de lots 150', 'Charges courantes par an 2 192 €']}","https://kwfrance.com/uploads/market-center/430/property/227953/628cd814e9642.jpg,https://kwfrance.com/uploads/market-center/430/property/227953/628cd813e0e03.jpg,https://kwfrance.com/uploads/market-center/430/property/227953/628cd815d299b.jpg,https://kwfrance.com/uploads/market-center/430/property/227953/628cd8111bf1e.jpg,https://kwfrance.com/uploads/market-center/430/property/227953/628cd812ec6cd.jpg,https://kwfrance.com/uploads/market-center/430/property/227953/628cd8120bd4b.jpg",91000,159900,,https://kwfrance.com/property/105577,3,105577,Appartement - Evry - 3piece(s) - 159 900€ | Keller Williams France,https://kwfrance.com/property/105577,kwfrance.com
,True,Kwfrance,92,3,GAILLAC,"PROCHE D'ALBI - INTÉRIEUR EN BON ÉTAT

En vente chez Keller williams Millenium, maison de 4 pièces de 92 m², à GAILLAC (81600).

C'est une maison mitoyenne datant de 2006 et de standing. Elle est agencée comme suit : trois chambres et une cuisine américaine et aménagée. Elle propose aussi une salle de bains. Le chauffage du logement est géré par des radiants alimentés à l'électricité. L'intérieur de la maison est en bon état.

Pour se détendre, cette maison bénéficie d'une terrasse. Le terrain du bien est de 326 m² sans vis à vis.

Un garage et une place de parking sont prévus pour stationner les véhicules.

La maison se trouve dans la commune de Gaillac. Il y a des écoles (de la maternelle au lycée) dans la commune.

Énergie, consommation et émission de gaz à effet de serre, voilà des critères primordiaux lorsque l'on a le projet d'acheter. Elle a une note DPE de classe D (185 kWh/m²/an). Quant à l'indice GES, il est de catégorie A, ce qui indique de très faibles émissions de gaz à effet de serre (chiffre annuel : 5 Kg CO2/m²).

N'hésitez pas à prendre contact avec votre agence KW MILLENIUM pour une première visite de cette maison à vendre.",True,326,"{'spider': 'kwfrance', 'added_from': 'SCRAPY', 'ref': 'https://kwfrance.com/result/index?view_type=list&btn_votre_projet_text=Location+-+Appartement+%28%2B5%29&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Btransaction_ides%5D%5B%5D=1&PropertieSearch%5Btransaction_ides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=1&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=2&PropertieSearch%5Bprop_typeides%5D%5B%5D=0&PropertieSearch%5Bprop_typeides%5D%5B%5D=4&PropertieSearch%5Bprogramme&page=2&per-page=12', 'departement': None, 'offer_type': None, 'page_index': 2, 'date': datetime.datetime(2022, 5, 26, 18, 52, 2, 672493)}","{'assets': ['DPE D 185', 'GES A 5', 'Type de bien Maison', 'Surface terrain (m2) 326.00', 'Année de construction 2006', 'Taxe Foncière 1 000.00 €/an', 'WC indépendants 1', 'Chambre(s) 3', 'Salle(s) de bain(s) 1', 'Ascenseur Non']}","https://kwfrance.com/uploads/market-center/424/property/227677/628c9dcfe33c9.jpg,https://kwfrance.com/uploads/market-center/424/property/227677/628c9ddc72a03.jpg,https://kwfrance.com/uploads/market-center/424/property/227677/628c9dcf32aa8.jpg,https://kwfrance.com/uploads/market-center/424/property/227677/628c9e6ae3d2b.jpg,https://kwfrance.com/uploads/market-center/424/property/227677/628c9dcf8ee51.jpg,https://kwfrance.com/uploads/market-center/424/property/227677/628c9dd045506.jpg",81600,251000,,https://kwfrance.com/property/105551,4,105551,Maison - Gaillac - 4piece(s) - 251 000€ | Keller Williams France,https://kwfrance.com/property/105551,kwfrance.com
