ads_type,agency,agency_name,area,bedrooms,city,description,is_available,land_surface,origin,others,photos,postal_code,price,property_type,public_url,rooms,site_id,title,url,website
,True,Lux-residence,385,6,Saint-Savin,"Maison en pierre de 385m2 hab. environ avec dépendance attenante, pavillon indépendant et piscine sur terrain d'1,7 HA. Séduction assurée à la découverte de cette belle maison familiale atypique et lumineuse, aux dimensions généreuses. Elle comprend, au RDC : entrée, salon avec cheminée, salle à manger, cuisine aménagée, chambre, cuisine d'été ouverte sur le jardin, cave et garage; à l'étage : 4 chambres (dont 2 suites parentales), grand bureau/bibliothèque avec balcon. Une magnifique grange cathédrale fermée et isolée de 150m2 environ, attenante à la maison vous permet de laisser libre court à vos projets (salle de reception, atelier, gîtes...). Un pavillon indépendant de 33m2 au sol (séjour avec cuisine US, sde/wc et mezzanine) et une piscine de 12x6m sont également à votre disposition! L'ensemble sur un parc arboré de plus d'1,77 HA en zone naturelle. Un magnifique écrin de verdure à portée de tous commerces et services. Mon coup de coeur et peut-être le vôtre?      Honoraires Ã  la charge du vendeur  Votre agent commercial 3G IMMO-CONSULTANT sur place Catherine DEFORGE Inscrite au RSAC de LIBOURNE 478 266 349, Tel : 06 31 72 42 44, Site 3gimmo :   Réf. annonce : 159850CD-1462386076",True,,"{'spider': 'luxresidence', 'added_from': 'SCRAPY', 'ref': 'https://www.lux-residence.com/fr/search?idtt=2&idpays=250&tri=DatePublicationAntechronologique&idtb=2,1,13,14,9,4&idstb=1,27,52,10,2&p=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 40, 921017)}","{'assets': ['11 Pièces', 'Cave', '6 Chambres', 'Non meublé', ""1 Salle d'eau"", '1 Salle de bain', 'Sous-sol', 'Surface habitable de de 385 m²', 'Garage']}",https://mmf.lux-residence.com/mmf/ads/012/5/5ebb4f57-dc82-45ae-a960-42f1dc64da88.jpg,,510,,https://www.lux-residence.com/fr/vente/maison-de-luxe/france/aquitaine/gironde/saint-savin/95028975/tt-2-tb-2-pl-14354,11,95028975,Saint-Savin,https://www.lux-residence.com/fr/vente/maison-de-luxe/france/aquitaine/gironde/saint-savin/95028975/tt-2-tb-2-pl-14354,www.lux-residence.com
,True,Lux-residence,180,4,Centre Ville,"Exceptionnelle villa pleine vue mer située dans un quartier privilégié en plein coeur de Dinard. Cette propriété de caractère bénéficie d'une vue mer depuis chaque pièce et de deux splendides terrasses, à l'abri des vents dominants, offrant des vues panoramiques sur la baie du Prieuré. Entrée, vaste pièce de vie avec séjour - salle à manger et cuisine donnant accès de plain-pied à une large terrasse surplombant la mer. Aux étages inférieurs : 2 suites avec chacune salle de bains et toilettes séparées, 2 chambres, salle d'eau, toilettes, buanderie et atelier. Stationnement couvert pour trois véhicules.",True,,"{'spider': 'luxresidence', 'added_from': 'SCRAPY', 'ref': 'https://www.lux-residence.com/fr/search?idtt=2&idpays=250&tri=DatePublicationAntechronologique&idtb=2,1,13,14,9,4&idstb=1,27,52,10,2&p=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 40, 921017)}","{'assets': ['Situation mer', 'Exposition est, sud', 'Année de construction 1860', '6 Pièces', 'Salle de séjour', 'Salle à manger', 'Entrée', '4 Chambres', '1 Toilette', 'Toilette séparée', 'Non meublé', 'Chauffage électrique', ""1 Salle d'eau"", '3 Salles de bain']}",https://v.seloger.com/s/cdn/x/visuels/0/y/p/z/0ypzf58x6kxcouq1hj44naibg4u7ja0ieqd74hubz.jpg,,1995000,,https://www.lux-residence.com/fr/vente/propriete/france/bretagne/ille-et-vilaine/dinard/centre-ville/186803979/tt-2-stb-8-pl-41431,6,186803979,Centre Ville,https://www.lux-residence.com/fr/vente/propriete/france/bretagne/ille-et-vilaine/dinard/centre-ville/186803979/tt-2-stb-8-pl-41431,www.lux-residence.com
,True,Lux-residence,111,3,Saint-Cézaire-sur-Siagne,"MAISON 4 PIECES 111m² SUR 2443M² DE TERRAIN SAINT-CEZAIRE Saint-Cezaire-Sur-Siagne : Maison individuelle de 4 pièces de 111m² + 18m² de véranda, entièrement rénové (double vitrage, climatisation réversible) sur un terrain plat d'environ 2500m² (agrandissement possible ou possibilité de détachement de parcelle pour une construction supplémentaire).
 10% d'emprise au sol.
 
 Elle est composée d'un séjour/cuisine équipée de 50m², 3 chambres dont une chambre parentale avec sa salle de bains complète (baignoire + douche + WC) et son dressing, une salle de douche, un WC indépendant et une véranda.
 
 Un garage de 30m² et un petit chalet complète le bien.
 
 Sans vis-à-vis et fosse septique au norme.
 Taxe foncière : 1119euros.
 
 Réel potentiel d'agrandissement ou de construction supplémentaire (détachement de parcelle possible).",True,,"{'spider': 'luxresidence', 'added_from': 'SCRAPY', 'ref': 'https://www.lux-residence.com/fr/search?idtt=2&idpays=250&tri=DatePublicationAntechronologique&idtb=2,1,13,14,9,4&idstb=1,27,52,10,2&p=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 40, 921017)}","{'assets': ['Sans vis-à-vis', 'Année de construction 1970', '4 Pièces', 'Salle de séjour', '3 Chambres', '2 Toilettes', 'Au moins 1 toilette séparée', 'Non meublé', 'Chauffage individuel', ""1 Salle d'eau"", '1 Salle de bain', 'Adapté aux handicapés']}",https://v.seloger.com/s/cdn/x/visuels/0/d/9/v/0d9v3mbpq171lcmvv6gixfc0feb19mr1dkvsbr0dd.jpg,,567000,,https://www.lux-residence.com/fr/vente/maison-de-luxe/france/provence-alpes-cote-d-azur/alpes-maritimes/saint-cezaire-sur-siagne/186804159/tt-2-tb-2-pl-2504,4,186804159,Saint-Cézaire-sur-Siagne,https://www.lux-residence.com/fr/vente/maison-de-luxe/france/provence-alpes-cote-d-azur/alpes-maritimes/saint-cezaire-sur-siagne/186804159/tt-2-tb-2-pl-2504,www.lux-residence.com
,True,Lux-residence,211,4,Village-Le Val-Cabrieres,"Villa 210m2, 5P + T2 à Mougins OPPORTUNITE!! Mougins, situation idéale pour cette propriété aux volumes généreux, édifiée sur un terrain de 1600m2, à proximité de tous commerces et axes routiers. 
 Cette construction traditionnelle de 211m2 habitables offre en rez- de- chaussée, une entrée, une vaste pièce de vie présentant une belle hauteur sous plafond, composée d'un salon avec cheminée, une salle à manger et cuisine US entièrement équipée ouvrant sur l 'espace piscine, buanderie et WC invité. Le coin nuit propose de plain-pied, 3 chambres et une salle de douche avec WC. A l' étage, une master suite profitant d'une grande terrasse d'angle, dressing, salle de bain avec baignoire, douche et WC. Pour parfaire ce bien, en rez-de-jardin, grand appartement 2P avec séjour, cuisine, chambre, salle de douche et WC, ainsi qu' un cellier. Garage et stationnements complètent également cette villa.
 A découvrir!!",True,,"{'spider': 'luxresidence', 'added_from': 'SCRAPY', 'ref': 'https://www.lux-residence.com/fr/search?idtt=2&idpays=250&tri=DatePublicationAntechronologique&idtb=2,1,13,14,9,4&idstb=1,27,52,10,2&p=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 40, 921017)}","{'assets': ['Sans vis-à-vis', 'Année de construction 1988', '7 Pièces', 'Salle de séjour', 'Salle à manger', 'Entrée', '4 Chambres', '2 Toilettes', 'Non meublé', 'Cheminée', 'Chauffage individuel électrique radiateur', ""1 Salle d'eau"", '1 Salle de bain', '2 Parkings']}",https://v.seloger.com/s/cdn/x/visuels/0/f/c/t/0fctvqebjze2xykrwh3n4waeau2cpn1m9ry5bwcqo.jpg,,995000,,https://www.lux-residence.com/fr/vente/villa-de-luxe/france/provence-alpes-cote-d-azur/alpes-maritimes/mougins/village-le-val-cabrieres/186804179/tt-2-stb-1-pl-39263,7,186804179,Village-Le Val-Cabrieres,https://www.lux-residence.com/fr/vente/villa-de-luxe/france/provence-alpes-cote-d-azur/alpes-maritimes/mougins/village-le-val-cabrieres/186804179/tt-2-stb-1-pl-39263,www.lux-residence.com
,True,Lux-residence,173,5,Centre Ville,"Idéalement situé en plein coeur de Dinard, à proximité immédiate du marché, de tous les commerces et des plages. Charmant appartement familial en parfait état de 173m² bénéficiant d'une entrée indépendante, d'un agréable espace extérieur, d'un excellent plan et de beaux volumes grâce à sa belle hauteur sous plafond. 
Entrée indépendante au rez-de-chaussée desservant une chambre avec salle d'eau et un jardin privatif. À l'étage : séjour-salle à manger disposant d'un petit balcon, cuisine dinatoire séparée et équipée, 3 chambres de belle taille, chambre enfant, salle de bains, dressing, toilettes séparées, nombreux rangements et vaste cave accessible directement depuis l'appartement.",True,,"{'spider': 'luxresidence', 'added_from': 'SCRAPY', 'ref': 'https://www.lux-residence.com/fr/search?idtt=2&idpays=250&tri=DatePublicationAntechronologique&idtb=2,1,13,14,9,4&idstb=1,27,52,10,2&p=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 40, 921017)}","{'assets': ['Au 1er étage', '6 Pièces', '1 Balcon', 'Cave', 'Salle de séjour', 'Salle à manger', 'Entrée', '5 Chambres', '2 Toilettes', 'Non meublé', 'Chauffage gaz', ""1 Salle d'eau"", '2 Salles de bain']}",https://v.seloger.com/s/cdn/x/visuels/0/3/0/s/030shxpc4pipwjhysf1559bi19995tpymbxaldgwf.jpg,,997500,,https://www.lux-residence.com/fr/vente/appartement-de-luxe/france/bretagne/ille-et-vilaine/dinard/centre-ville/186803985/tt-2-tb-1-pl-41431,6,186803985,Centre Ville,https://www.lux-residence.com/fr/vente/appartement-de-luxe/france/bretagne/ille-et-vilaine/dinard/centre-ville/186803985/tt-2-tb-1-pl-41431,www.lux-residence.com
,True,Lux-residence,240,5,Petricot-Reptou,"Quartier Beau Rivage, proche commerces et plage, superbe maison de 240m² sur 3 niveaux construite sur une parcelle de 511m². Entrée avec vestiaire, pièce de vie spacieuse disposant de larges baies ouvrant sur une belle terrasse avec piscine (jacuzzi), cuisine ouverte d'exception, suite parentale avec salle de bains, toilettes. À l'étage : 4 chambres avec balcon et dotées chacune d'une salle d'eau et de toilettes. Grand sous-sol équipé d'une buanderie, douche retour de plage, nombreux rangements, zone de stockage. Garage disposant de 3 places de stationnement, plus 2 en extérieur.",True,,"{'spider': 'luxresidence', 'added_from': 'SCRAPY', 'ref': 'https://www.lux-residence.com/fr/search?idtt=2&idpays=250&tri=DatePublicationAntechronologique&idtb=2,1,13,14,9,4&idstb=1,27,52,10,2&p=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 40, 921017)}","{'assets': ['Année de construction 1960', '7 Pièces', '1 Balcon', 'Entrée', '5 Chambres', '1 Toilette', 'Toilette séparée', 'Non meublé', 'Chauffage électrique', ""1 Salle d'eau"", '1 Salle de bain']}",https://v.seloger.com/s/cdn/x/visuels/1/s/g/h/1sghn6b1kgdq9z5ksh2zg7w8x5wl6htp4qc53ynrj.jpg,,2835000,,https://www.lux-residence.com/fr/vente/maison-de-luxe/france/aquitaine/pyrenees-atlantiques/biarritz/petricot-reptou/186803977/tt-2-tb-2-pl-44047,7,186803977,Petricot-Reptou,https://www.lux-residence.com/fr/vente/maison-de-luxe/france/aquitaine/pyrenees-atlantiques/biarritz/petricot-reptou/186803977/tt-2-tb-2-pl-44047,www.lux-residence.com
,True,Lux-residence,355,5,Nord,"Vente Villa 350m2 avec piscine et tennis à Peymeinade Peymeinade- Il était une fois.. dans un cadre enchanteur, une magnifique propriété en pierre d'une superficie habitable d' environ 355m2, présentée dans un état impeccable avec des matériaux de qualité, au calme absolu, profitant d'un bel espace piscine avec cascade, court de tennis, et boulodrome. Cette construction traditionnelle propose en rez-de-chaussée, un hall d'entrée desservant une vaste pièce de vie avec une belle hauteur sous-plafond, cuisine entièrement équipée ouvrant sur deux terrasses avec vue sur les collines, bureau, ainsi qu'une master suite avec salle de bain avec douche et baignoire balnéo. A l'étage, mezzanine abritant une bibliothèque, deux chambres en suite avec salle de douche dont une avec terasse. En rez-de-jardin, nous retrouvons, un second salon, deux chambres, deux salles de bains, vaste pièce supplémentaire pouvant faire office de salle de sport, atelier, ou cinéma, buanderie. 
 Belle invitation à la détente par ce splendide terrain de 3725m2 où s'entremêlent de nombreuses essences méditerranéennes, cascade, fontaine, douche d'été et mur en pierres.. 
 Pour parfaire ce bien, cave à vin, grand pool house avec cuisine d'été ( four pizza, friteuse, broche, barbecue..), court de tennis, chalet d' habitation, boulodrome, double garage permettant le stationnement de 4 véhicules, et aire de stationnement supplémentaire.
 
 Amateur de conte de fées? A visiter rapidement!",True,,"{'spider': 'luxresidence', 'added_from': 'SCRAPY', 'ref': 'https://www.lux-residence.com/fr/search?idtt=2&idpays=250&tri=DatePublicationAntechronologique&idtb=2,1,13,14,9,4&idstb=1,27,52,10,2&p=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 40, 921017)}","{'assets': ['Exposition sud', 'Sans vis-à-vis', 'Calme', '8 Pièces', 'Cave', 'Entrée', '5 Chambres', '5 Toilettes', 'Au moins 1 toilette séparée', 'Non meublé', 'Chauffage fuel', ""3 Salles d'eau"", '2 Salles de bain', '6 Parkings']}",https://v.seloger.com/s/cdn/x/visuels/1/3/m/j/13mj9f7maiyuaru2q2k0ud9nlw2iof3tpg9rjcxwg.jpg,,1690000,,https://www.lux-residence.com/fr/vente/villa-de-luxe/france/provence-alpes-cote-d-azur/alpes-maritimes/peymeinade/nord/186804183/tt-2-stb-1-pl-39310,8,186804183,Nord,https://www.lux-residence.com/fr/vente/villa-de-luxe/france/provence-alpes-cote-d-azur/alpes-maritimes/peymeinade/nord/186804183/tt-2-stb-1-pl-39310,www.lux-residence.com
,True,Lux-residence,101,3,La Bastide,"Bordeaux - Bastide Niel / Magnifique Appartement T4 très récent avec grande terrasse Situé Rive droite, sur les bords verdoyants de la Garonne, cet immeuble récent au style résolument contemporain abrite en étage élevé un magnifique appartement T4 de standing. Implanté en position dominante, il bénéficie de nombreux points de vue sur Bordeaux depuis sa terrasse ou son intérieur et est inondé de lumière.
 
 Vous accèderez depuis l'entrée à sa grande pièce de vie composée d'un salon et d'une magnifique cuisine sur mesure parfaitement équipée avec espace dinatoire. Ce volume donne, comme dans une villa, sur une vaste terrasse avec coin repas et zone repos solarium intimiste. L'appartement est doté de deux espaces nuit distincts diamétralement opposés avec, d'un côté, une suite parentale disposant de sa salle d'eau privative avec wc, et de l'autre, un espace clos avec 2 chambres, une salle d'eau et des toilettes séparés.
 Deux places de parking viennent compléter ce bien atypique.
 
 Cet immeuble de très bonne construction profite d'un système de chauffage urbain par géothermie garant d'une maitrise des coûts énergétiques. Les parties communes sont également très agréables, spacieuses et fonctionnelles.
 
 Ce bien se situe dans un secteur en fort développement et prévoyant d'accueillir de nouveaux équipements et infrastructures. Sa situation vous permettra de bénéficier des larges espaces végétalisés environnants pour de longues balades à pieds ou d'emprunter les pistes cyclables longeant le fleuve.
 
 En état impeccable et doté de très nombreux rangements, cet appartement est prêt à vous accueillir pour y vivre agréablement.
 
 Nombre de lots principaux : Entre 15 et 25
 Montant moyen mensuel de la quote-part de charges courantes : 191 euros
 Aucune procédure en cours menée sur le fondement des articles 29-1 A et 29-1 de la loi n° 65-557 du 10 juillet 1965 et de l'article L. 615-6 du CCH
 
 Pour plus de réactivité, une visite virtuelle complète guidée à distance est disponible sur demande !",True,,"{'spider': 'luxresidence', 'added_from': 'SCRAPY', 'ref': 'https://www.lux-residence.com/fr/search?idtt=2&idpays=250&tri=DatePublicationAntechronologique&idtb=2,1,13,14,9,4&idstb=1,27,52,10,2&p=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 40, 921017)}","{'assets': ['Sans vis-à-vis', 'Année de construction 2021', 'Au 6ème étage', '4 Pièces', 'Refait à neuf', 'Entrée', '3 Chambres', '2 Toilettes', 'Au moins 1 toilette séparée', 'Non meublé', 'Chauffage central', ""2 Salles d'eau"", 'Adapté aux handicapés']}",https://v.seloger.com/s/cdn/x/visuels/0/b/e/2/0be2c4r77qdpbl9tmv7ks36ou17fyjdpdle2the1i.jpg,,725000,,https://www.lux-residence.com/fr/vente/appartement-de-luxe/france/aquitaine/gironde/bordeaux/la-bastide/186804051/tt-2-tb-1-pl-48326,4,186804051,La Bastide,https://www.lux-residence.com/fr/vente/appartement-de-luxe/france/aquitaine/gironde/bordeaux/la-bastide/186804051/tt-2-tb-1-pl-48326,www.lux-residence.com
,True,Lux-residence,160,4,Saint-Palais-sur-Mer,"- Exclusivité Ateliers Lofts & associés Royan - 
 À 700 m des commerces du bourg de Vaux sur Mer et 2200 m de la plage de Nauzan, au calme d'une allée privée, 
 Cette maison de 160 m2 habitables environ présente la particularité d'avoir une distribution entièrement de plain pied. 
 Construite en 2000 et modernisée en 2015, elle bénéficie d'une orientation optimale avec une lumineuse pièce de vie de + de 60 m2 captant le soleil du matin au soir (ouvertures Est / Sud / Ouest). Cette pièce inclut une cuisine contemporaine avec îlot et est prolongée par une terrasse donnant sur le jardin et l'espace piscine. 
 La partie nuit offre 4 belles chambres (14 à 19 m2) ouvertes chacune sur l'extérieur par des baies vitrées et une salle de bain familiale avec baignoire et douche italienne. WC séparé. 
 L'aspect pratique est présent avec placard, vestiaire, cellier mais aussi 2 garages dont un de 39 m2, l'autre pouvant selon l'envie facilement être transformé en chambre / bureau ou salle d'eau. 
 La piscine chauffée est complétée par une vaste terrasse pour le farniente. Le pool house est prolongé par une salle à manger extérieure avec son espace plancha pour des tablées entre amis. 
 La parcelle de 766 m2 est entourée de jardins, de vergers et de champs en zone naturelle non constructible pour une quiétude assurée tout en étant à moins de 10 min de la plage à vélo.",True,,"{'spider': 'luxresidence', 'added_from': 'SCRAPY', 'ref': 'https://www.lux-residence.com/fr/search?idtt=2&idpays=250&tri=DatePublicationAntechronologique&idtb=2,1,13,14,9,4&idstb=1,27,52,10,2&p=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 40, 921017)}","{'assets': ['Exposition est, sud, ouest', 'Calme', 'Année de construction 2000', '5 Pièces', 'Salle à manger', '4 Chambres', '1 Toilette', 'Non meublé', 'Chauffage individuel électrique radiateur', '1 Salle de bain', 'Adapté aux handicapés', '2 Parkings', 'Alarme']}",https://v.seloger.com/s/cdn/x/visuels/0/6/8/2/0682gh54m0v3gjhx6nntjp2bmgllhx8xm3sr4atuo.jpg,,647900,,https://www.lux-residence.com/fr/vente/maison-de-luxe/france/poitou-charentes/charente-maritime/saint-palais-sur-mer/186804413/tt-2-tb-2-pl-6950,5,186804413,Saint-Palais-sur-Mer,https://www.lux-residence.com/fr/vente/maison-de-luxe/france/poitou-charentes/charente-maritime/saint-palais-sur-mer/186804413/tt-2-tb-2-pl-6950,www.lux-residence.com
,True,Lux-residence,182,4,Soorts-Hossegor,"Exclusivité, INTER-AGENCES UNIVERSEL.
A seulement 15 mn de Soorts-Hossegor, propriété T6 de 182 m² environ + dépendance de 40 m² dépendances de 300m² et possibilité de créer un appartement de 50 m² environ.
Idéalement située, à l'abri des regards, cette maison de charme du 19 ème siècle de 182 m² sur 1, 49 hectares en parc et forêt entièrement clôturé.
Ce lieu de vie authentique dispose de volumes généreux et d'un charme indéniable, un mélange de matériaux anciens,
ferronnerie d'art et moderne dans une composition sans fausse note.
L'entrée dessert une vaste cuisine entièrement équipée avec cheminée, cellier attenant, un wc séparé.
Un séjour cathédrale plein sud avec de grandes baies vitrées donnant sur la terrasse, une superbe cheminée agrémente cette pièce de vie.
Le couloir dessert une suite parentale XXL exposé plein sud, avec salle d'eau et wc, dressing, une chambre avec salle d'eau.
L'escalier en fer forgé, tel une œuvre d'art mène au 1 er étage, un vaste palier très lumineux
( coin détente, bureau) avec un accès indépendant sur l'extérieur.
Une chambre avec placards de rangements, une salle de bains/douche, un wc séparé, une grande chambre disposant d'un coin nuit enfant, une grande terrasse donnant sur la campagne environnante.

Coté extérieur, une piscine 12x4 au sel avec sa terrasse prolongé par son superbe parc arboré, un double carport, un grand garage,
une dépendance de plus de 300 m², un local de rangements, une dépendance de 40 m² environ à réhabiliter, un très grand parking intérieur.
Fort potentiel pour une création de chambres d'hôtes ou maison de famille.

A seulement 15 minutes de l'océan, 5 minutes des commerces et écoles, 15 minutes de la gare de Dax et 45 minutes de l'aéroport de Biarritz.
 Les honoraires sont à la charge du vendeur. Réseau Immobilier CAPIFRANCE - Votre agent commercial Myriam SLUNJSKI Plus d'informations sur le site de CAPIFRANCE (réf.720629)",True,,"{'spider': 'luxresidence', 'added_from': 'SCRAPY', 'ref': 'https://www.lux-residence.com/fr/search?idtt=2&idpays=250&tri=DatePublicationAntechronologique&idtb=2,1,13,14,9,4&idstb=1,27,52,10,2&p=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 40, 921017)}","{'assets': ['Exposition sud', 'Année de construction 1900', '6 Pièces', 'Salle de séjour', 'Entrée', '4 Chambres', '3 Toilettes', 'Au moins 1 toilette séparée', 'Cheminée', ""2 Salles d'eau"", '1 Salle de bain', 'Adapté aux handicapés', '15 Parkings']}",https://v.seloger.com/s/cdn/x/visuels/1/u/5/v/1u5v3s7693k8m2zfnklj0xo7q7ht9orceh2sjoxls.jpg,,720800,,https://www.lux-residence.com/fr/vente/propriete/france/aquitaine/landes/soorts-hossegor/171877605/tt-2-stb-8-pl-17130,6,171877605,Soorts-Hossegor,https://www.lux-residence.com/fr/vente/propriete/france/aquitaine/landes/soorts-hossegor/171877605/tt-2-stb-8-pl-17130,www.lux-residence.com
