ads_type,agency,agency_name,area,bedrooms,city,description,is_available,land_surface,origin,others,photos,postal_code,price,property_type,public_url,rooms,site_id,title,url,website
,True,Proprioo,140,4,Clamart,"Proprioo vous propose à la vente cette maison familiale de 140m² à Clamart à proximité des écoles, des commerces et des transports.
Cette maison des années 2000 propose de beaux volumes et un jardin de 100m².
Au rez-de-chaussée : une belle entrée, un double séjour donnant sur le jardin, une cuisine US entièrement équipée, un bureau et wc séparés. Vous serez séduits par la luminosité et la belle hauteur sous plafond.
À l'étage : 3 belles chambres lumineuses et climatisées, une salle de bains et une salle d'eau avec wc et de nombreux rangements.
Au sous sol : un studio indépendant a été créé avec sa salle d'eau. Vous trouverez également un espace buanderie, un cave, des rangements et une grande salle de jeux de 30m² qui pourrait devenir une 5ème chambre.
Chauffage gaz et double vitrage sur l'ensemble des fenêtres.
Un grand garage complète le bien ainsi qu'une place de parking dans l'allée centrale.
Ce bien est commercialisé par Proprioo.",True,100,"{'spider': 'proprioo', 'added_from': 'SCRAPY', 'ref': 'https://www.proprioo.fr/nosannonces?status=PUBLISHED&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 55, 241055)}","{'assets': [""Consommation d'électricité 177 kWhEP/m²/an, niveau C"", 'Émission de gaz à effet de serre 36 kgeqCO2/m²/an, niveau D', 'Surface 140 m²', 'Pièces 6', 'Chambres 4', 'Nombre d’étages 1', 'État du bien Bon état', 'Date de construction 2000', 'Parking Oui', 'Fenêtres Double vitrage', 'Luminosité Très lumineux', 'Cuisine Américaine - Équipée', 'Séjour vue Jardin', 'Salle de bain 1', 'Salles d’eau 2', 'Toilettes 2', 'Dont toilette séparée 1', 'Travaux faits Aucun', 'Travaux à prévoir Aucun', 'Terrain 100 m²', 'Façade Brique', 'Places parking 2', 'Nature du chauffage Gaz']}",,92140,980000,,https://www.proprioo.fr/nosannonces/annonce/Vente_Maison_6_pi%C3%A8ces_de_140m2_-_92140_Clamart/17273?status=PUBLISHED&page=1,6,17273,Vente Maison 6 pièces de 140m2 - 92140 Clamart,https://www.proprioo.fr/nosannonces/annonce/Vente_Maison_6_pi%C3%A8ces_de_140m2_-_92140_Clamart/17273?status=PUBLISHED&page=1,www.proprioo.fr
,True,Proprioo,60,1,Courbevoie,"Proprioo vous propose à la vente ce très bel appartement de 2 pièces, 60m².  Refait entièrement à neuf, ce grand T2 propose un aménagement unique dans la copropriété.
Situé à Courbevoie - Quartier Regnault, il bénéficie d'un emplacement exceptionnel au coeur des gratte-ciel de la Défense.
L’appartement est au 7ème avec ascenseur d'une copropriété bien entretenue et sécurisée avec une gardienne.
Venez découvrir ce grand 2 pièces qui se compose : d'un hall d'entrée avec placard, d’une spacieuse pièce de vie donnant sur le balcon, d’une cuisine indépendante équipée et aménagée, d'une chambre avec placards, d’une salle d’eau et d'un WC séparé le tout donnant sur une vue dégagée et sans vis-à-vis. Le bien est baigné de lumière dû à son exposition Sud-Est et dispose d'une climatisation.
Il saura vous séduire par son emplacement idéal du fait de sa proximité directe de la Défense (5 minutes à pied), de tous les commerces de proximités et des transports en commun.
Vous aurez la garantie d'être au coeur d'un quartier vivant et agréable.
Étant très spacieux, vous pourrez selon vos besoins créer facilement une seconde chambre ou un bureau.
Les plus non négligeables : un parking et une cave complètent ce bien.
N'attendez plus, venez le visiter !",True,,"{'spider': 'proprioo', 'added_from': 'SCRAPY', 'ref': 'https://www.proprioo.fr/nosannonces?status=PUBLISHED&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 55, 241055)}","{'assets': [""Consommation d'électricité 211 kWhEP/m²/an, niveau D"", 'Émission de gaz à effet de serre 26 kgeqCO2/m²/an, niveau C', 'Surface 60 m²', 'Pièces 2', 'Chambre 1', 'Ascenseur Oui', 'Étage du bien 7ème étage', 'État du bien Bon état', 'Date de construction 1975', 'Parking Oui', 'Gardien Oui', 'Taxe foncière 900 €/an', 'Fenêtres Simple vitrage', 'Luminosité Lumineux', 'Cuisine Indépendante - Équipée', 'Orientation Sud est', 'Orientation séjour Sud est', 'Salle d’eau 1', 'Toilette 1', 'Dont toilette séparée 1', 'Travaux faits Aucun', 'Travaux à prévoir Aucun', 'Balcon / Terrasse 4 m²', 'Cave Oui', 'Parking Intérieur', 'Place parking 1', 'Interphone Oui', 'Digicode Oui', 'Nature du chauffage Gaz', 'Type de chauffage Collectif', 'Charges 668 €/trimestre', 'Nombre copropriétaires 128', 'Nombre de lots 381', 'Procédure en cours Non', 'Travaux récents Aucun', 'Travaux votés Aucun']}",,92400,470000,,https://www.proprioo.fr/nosannonces/annonce/Vente_Appartement_2_pi%C3%A8ces_de_60m2_-_92400_Courbevoie/16902?status=PUBLISHED&page=1,2,16902,Vente Appartement 2 pièces de 60m2 - 92400 Courbevoie,https://www.proprioo.fr/nosannonces/annonce/Vente_Appartement_2_pi%C3%A8ces_de_60m2_-_92400_Courbevoie/16902?status=PUBLISHED&page=1,www.proprioo.fr
,True,Proprioo,39,1,Nantes,"Proprioo vous propose à la vente, en exclusivité, cet appartement de 2 pièces de 39 m², avec une vue dégagée en plein cœur du quartier urbain et animé des AGENÊTS.
Ce bien, situé au 4ᵉ étage d'un immeuble calme sécurisé par un interphone, se compose d'une pièce de vie lumineuse, d'une chambre communicante, d'une salle d'eau, avec parquet, double vitrage et une exposition sud-est idéale.
Une cuisine indépendante, un espace buanderie, des toilettes séparées et une cave privative viennent compléter ce bien.
Vous aurez accès au garage à vélos, aux stationnements extérieurs et à la cour attenante, tous trois communs à la copropriété.
Ce bien est commercialisé par Proprioo.",True,,"{'spider': 'proprioo', 'added_from': 'SCRAPY', 'ref': 'https://www.proprioo.fr/nosannonces?status=PUBLISHED&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 55, 241055)}","{'assets': [""Consommation d'électricité 322 kWhEP/m²/an, niveau E"", 'Émission de gaz à effet de serre 16 kgeqCO2/m²/an, niveau C', 'Surface 39.82 m²', 'Pièces 2', 'Chambre 1', 'Ascenseur Non', 'Étage du bien 4ème étage', 'État du bien À rafraîchir', 'Date de construction 1960', 'Taxe foncière 638 €/an', 'Fenêtres Double vitrage', 'Luminosité Lumineux', 'Cuisine Indépendante - Vide', 'Orientation Sud est', 'Orientation séjour Sud est', 'Séjour vue Rue', 'Salle d’eau 1', 'Toilette 1', 'Dont toilette séparée 1', 'Travaux faits Aucun', ""Travaux à prévoir Ballon d'eau chaude"", 'Façade Enduit', 'Cave Oui', 'Interphone Oui', 'Charges d’électricité 74 €/mois', 'Nature du chauffage Électrique', 'Type de chauffage Individuel', 'Charges 64 €/mois', 'Procédure en cours Non', 'Travaux récents Aucun', 'Travaux votés Aucun']}",,44000,149500,,https://www.proprioo.fr/nosannonces/annonce/Vente_Appartement_2_pi%C3%A8ces_de_40m2_-_44000_Nantes/17109?status=PUBLISHED&page=1,2,17109,Vente Appartement 2 pièces de 40m2 - 44000 Nantes,https://www.proprioo.fr/nosannonces/annonce/Vente_Appartement_2_pi%C3%A8ces_de_40m2_-_44000_Nantes/17109?status=PUBLISHED&page=1,www.proprioo.fr
,True,Proprioo,57,1,Rez%C3%A9,"Proprioo vous propose à la vente cet appartement type 2 de 58 m² situé dans le centre de Rezé.
Ce bien situé au premier étage se compose d'une cuisine ouverte, d'un salon-séjour de 30 m² donnant sur un balcon de 6 m² exposée Ouest, d'une chambre, d'une salle d'eau et d'un W.C séparé.
Un parking et une cave complètent ce bien.
Ce bien est commercialisé par Proprioo.",True,,"{'spider': 'proprioo', 'added_from': 'SCRAPY', 'ref': 'https://www.proprioo.fr/nosannonces?status=PUBLISHED&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 55, 241055)}","{'assets': [""Consommation d'électricité 208 kWhEP/m²/an, niveau D"", 'Émission de gaz à effet de serre 19 kgeqCO2/m²/an, niveau C', 'Surface 57.6 m²', 'Pièces 2', 'Chambre 1', 'Ascenseur Non', 'Étage du bien 1er étage', 'État du bien Bon état', 'Date de construction 1965', 'Parking Oui', 'Taxe foncière 790 €/an', 'Fenêtres Double vitrage', 'Cuisine Américaine', 'Orientation séjour Ouest', 'Salle d’eau 1', 'Toilette 1', 'Dont toilette séparée 1', 'Travaux faits Aucun', 'Travaux à prévoir Aucun', 'Balcon / Terrasse 6.4 m²', 'Façade Enduit', 'Date rénov. façade 2015', 'Cave Oui', 'Parking Extérieur', 'Place parking 1', 'Nature du chauffage Électrique', 'Type de chauffage Individuel', 'Charges 971 €/an', 'Nombre copropriétaires 60', 'Nombre de lots 175', 'Procédure en cours Non', 'Travaux récents Ravalement en 2015', 'Travaux votés Aucun']}",,44400,189000,,https://www.proprioo.fr/nosannonces/annonce/Vente_Appartement_2_pi%C3%A8ces_de_58m2_-_44400_Rez%C3%A9/17160?status=PUBLISHED&page=1,2,17160,Vente Appartement 2 pièces de 58m2 - 44400 Rezé,https://www.proprioo.fr/nosannonces/annonce/Vente_Appartement_2_pi%C3%A8ces_de_58m2_-_44400_Rez%C3%A9/17160?status=PUBLISHED&page=1,www.proprioo.fr
,True,Proprioo,194,5,Rosny-sous-Bois,"Proprioo vous propose à la vente cette maison coup de coeur (non mitoyenne) de 6 pièces de plus de 190 m² habitable avec presque 250 m² de terrain située à Rosny-sous-Bois, à moins de 10 minutes à pied de la gare du RER E et du centre-ville.
Cette maison en excellent état se compose de 3 niveaux. Au rez-de-chaussée, vous trouverez un grand double séjour avec une cuisine ouverte équipée, exposée sud et de grandes baies vitrées ouvrant sur le jardin et la terrasse. Vous trouverez au même niveau une chambre, une salle d'eau et des WC. Au 1er étage : une chambre parentale avec dressing reliée à une salle de bain et une troisième chambre. Au rez-de-jardin, une quatrième chambre avec des espaces de rangements. Aussi, au même niveau, vous trouverez un appartement de deux pièces de presque 50 m² (séjour avec cuisine, chambre, salle d'eau et WC) avec une entrée indépendante (pouvant être ouvert sur le reste de la maison si besoin).
Vous apprécierez tout particulièrement le charme moderne de cette maison rénovée récemment (ravalement fait il y a un mois, climatisations réversibles partout dans la maison, système d'alarme, peintures refaites, cuisine récente, parquet massif...). Vous profiterez également d'une belle luminosité tout au long de la journée ainsi qu'un calme absolu ! Enfin, comme les propriétaires actuels, vous aurez également la possibilité de louer cet appartement en rez-de-jardin comme il est complètement indépendant pour maximiser la rentabilité de l'achat. Si vous n'y voyez pas d'intérêt, vous pourrez sans soucis le rouvrir sur le reste de la maison.
Maison libre dès maintenant !",True,238,"{'spider': 'proprioo', 'added_from': 'SCRAPY', 'ref': 'https://www.proprioo.fr/nosannonces?status=PUBLISHED&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 55, 241055)}","{'assets': [""Consommation d'électricité 158 kWhEP/m²/an, niveau C"", 'Émission de gaz à effet de serre 24 kgeqCO2/m²/an, niveau C', 'Surface 194 m²', 'Pièces 6', 'Chambres 5', 'Nombre d’étages 2', 'État du bien Neuf/refait à neuf', 'Date de construction 1930', 'Parking Oui', 'Taxe foncière 2500 €/an', 'Fenêtres Double vitrage', 'Luminosité Lumineux', 'Cuisine Américaine - Équipée', 'Orientation Sud', 'Orientation séjour Sud', 'Séjour vue Jardin', 'Salle de bain 1', 'Salles d’eau 2', 'Toilettes 3', 'Travaux faits Ravalement, peintures, climatisation...', 'Travaux à prévoir Aucun', 'Terrain 238 m²', 'Date rénov. façade 2022', 'Parking Extérieur', 'Place parking 1', 'Nature du chauffage Gaz']}",,93110,695000,,https://www.proprioo.fr/nosannonces/annonce/Vente_Maison_6_pi%C3%A8ces_de_194m2_-_93110_Rosny-sous-Bois/17033?status=PUBLISHED&page=1,6,17033,Vente Maison 6 pièces de 194m2 - 93110 Rosny-sous-Bois,https://www.proprioo.fr/nosannonces/annonce/Vente_Maison_6_pi%C3%A8ces_de_194m2_-_93110_Rosny-sous-Bois/17033?status=PUBLISHED&page=1,www.proprioo.fr
,True,Proprioo,98,3,Bagnolet,"Proprioo vous propose à la vente ce duplex de 4 pièces de 120m² (98.25 m² LC)
Aux portes de Paris, à la limite des Lilas, ce loft se niche au 3eme et dernier étage avec ascenseur d'une ancienne usine de caddies.
Traversant, le rez-de-chaussée est distribué entre une grande pièce à vivre disposant de plus de 4m de hauteur sous plafond et une cuisine dinatoire avec un pan entièrement vitré offrant une vue dégagée et une grande luminosité. Une salle d'eau avec wc complète ces espaces.
À l'étage, un corridor distribue une chambre, une chambre double, un bureau et une salle de bain avec wc.
Très lumineux avec ses orientations Est/Ouest, ce loft séduira tant par ses proportions généreuses que par ses qualités de rénovation. Il dispose d’un système de chauffage électrique, de systèmes de climatisation, et de doubles vitrages sur l’ensemble des fenêtres.
Une cave complète ce bien.
Charges de copropriété : 245€ par mois.
Taxe foncière : 2226€ par an.
Ce bien est commercialisé par Proprioo.",True,,"{'spider': 'proprioo', 'added_from': 'SCRAPY', 'ref': 'https://www.proprioo.fr/nosannonces?status=PUBLISHED&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 55, 241055)}","{'assets': [""Consommation d'électricité 188 kWhEP/m²/an, niveau D"", 'Émission de gaz à effet de serre 6 kgeqCO2/m²/an, niveau B', 'Surface loi Carrez 98 m²', 'Surface habitable 120 m²', 'Pièces 4', 'Chambres 3', 'Ascenseur Oui', 'Étage du bien 3ème étage', 'État du bien Neuf/refait à neuf', 'Taxe foncière 2226 €/an', 'Fenêtres Double vitrage', 'Luminosité Très lumineux', 'Cuisine Américaine - Indépendante - Équipée', 'Orientation Nord est - Sud ouest', 'Orientation séjour Est', 'Séjour vue Rue', 'Salle de bain 1', 'Salle d’eau 1', 'Toilettes 2', 'Travaux faits Aucun', 'Travaux à prévoir Aucun', 'Cave Oui', 'Interphone Oui', 'Digicode Oui', 'Charges d’électricité 1500 €/an', 'Nature du chauffage Électrique', 'Type de chauffage Individuel', 'Charges 2941 €/an', 'Nombre copropriétaires 1', 'Nombre de lots 13', 'Procédure en cours Non', 'Travaux récents Aucun', 'Travaux votés Aucun']}",,93170,675000,,https://www.proprioo.fr/nosannonces/annonce/Vente_Appartement_4_pi%C3%A8ces_de_98m2_-_93170_Bagnolet/17054?status=PUBLISHED&page=1,4,17054,Vente Appartement 4 pièces de 98m2 - 93170 Bagnolet,https://www.proprioo.fr/nosannonces/annonce/Vente_Appartement_4_pi%C3%A8ces_de_98m2_-_93170_Bagnolet/17054?status=PUBLISHED&page=1,www.proprioo.fr
,True,Proprioo,20,1,Paris,"Proprioo vous propose à la vente ce charmant grand studio de 20 m² carrez, 30 m² pondéré et 40 m² de surface totale. Sectorisé Place des Victoires - Mail, localisé rue d'Aboukir.
Ce bien se situe au 6ᵉ étage avec ascenseur jusqu'au 5ᵉ, dans un immeuble haussmannien de 1870, bien tenu et entretenu, sécurisé par un digicode et par un interphone.
Il se compose d’une entrée ouvrant sur un large séjour, une cuisine US ouverte équipée et aménagée, coin nuit sous combles en mezzanine, une salle de douche à l'italienne avec un WC. Charme de l'ancien, poutres, sol en béton ciré et des rangements. Un local à vélo complète ce bien.
Orienté Sud, il dispose d’un système de chauffage électrique et de doubles vitrages sur l’ensemble des fenêtres.
Charges de copropriété : 50 € par mois.
Taxe foncière : 450 € par an
Ce bien est commercialisé par Proprioo.",True,,"{'spider': 'proprioo', 'added_from': 'SCRAPY', 'ref': 'https://www.proprioo.fr/nosannonces?status=PUBLISHED&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 55, 241055)}","{'assets': [""Consommation d'électricité 333 kWhEP/m²/an, niveau F"", 'Émission de gaz à effet de serre 10 kgeqCO2/m²/an, niveau B', 'Surface 20 m²', 'Pièce 1', 'Chambre 1', 'Ascenseur Oui', 'Étage du bien 6ème étage', 'État du bien Bon état', 'Date de construction 1870', 'Taxe foncière 450 €/an', 'Fenêtres Double vitrage', 'Luminosité Très lumineux', 'Cuisine Américaine', 'Orientation Sud', 'Orientation séjour Sud', 'Séjour vue Cour', 'Salle d’eau 1', 'Toilette 1', 'Travaux faits Aucun', 'Travaux à prévoir Aucun', 'Façade Pierre de taille', 'Date rénov. façade 2016', 'Interphone Oui', 'Digicode Oui', 'Nature du chauffage Électrique', 'Type de chauffage Individuel', 'Charges 50 €/mois', 'Nombre copropriétaires 16', 'Nombre de lots 65', 'Procédure en cours Non', 'Travaux récents Aucun', 'Travaux payés Reste à payer', ""Travaux votés Ravalements façades, rue, cour et courette, Porche d'entrée, réfection cage d'escaler, pignon""]}",,75002,446000,,https://www.proprioo.fr/nosannonces/annonce/Vente_Appartement_1_pi%C3%A8ce_de_20m2_-_75002_Paris/16357?status=PUBLISHED&page=1,1,16357,Vente Appartement 1 pièce de 20m2 - 75002 Paris,https://www.proprioo.fr/nosannonces/annonce/Vente_Appartement_1_pi%C3%A8ce_de_20m2_-_75002_Paris/16357?status=PUBLISHED&page=1,www.proprioo.fr
,True,Proprioo,130,4,Meyzieu,"Proprioo vous propose à la vente cette maison individuelle située au bout d'une impasse, au calme sans vis à vis, sur un terrain de 759m2 piscinable.
Elle se compose au rez-de-chaussé d'un garage fermé, d'un cellier donnant accès à une cave semi-enterrée. Ainsi qu'une cuisine d'été donnant directement sur le jardin par une porte fenêtres, d'une salle d'eau avec wc et d'une salle de jeux (possibilité de créer une chambre parentale de plus de 20 m2 ou d'un studio indépendant).
L'étage se compose d'une entrée avec rangements, d'un double séjour traversant avec une cheminée à insert, d'une cuisine ouverte entièrement équipée, d'un dégagement amenant aux 4 chambres, à la salle de bain et au Wc séparé.
Atouts de la maison : au calme, grand terrain avec potager aménagé, serre, et piscinable !
Très beau potentiel !
Charges de copropriété : 11.0€ par mois.
Taxe foncière : 1260€ par an
Ce bien est commercialisé par Proprioo.",True,759,"{'spider': 'proprioo', 'added_from': 'SCRAPY', 'ref': 'https://www.proprioo.fr/nosannonces?status=PUBLISHED&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 55, 241055)}","{'assets': [""Consommation d'électricité 235 kWhEP/m²/an, niveau D"", 'Émission de gaz à effet de serre 7 kgeqCO2/m²/an, niveau B', 'Surface loi Carrez 130 m²', 'Surface habitable 200 m²', 'Pièces 6', 'Chambres 4', 'Nombre d’étages 1', 'Date de construction 1976', 'Parking Oui', 'Box Oui', 'Taxe foncière 1260 €/an', 'Fenêtres Double vitrage', 'Luminosité Lumineux', 'Cuisine Américaine - Équipée', 'Orientation Est - Ouest', 'Orientation séjour Est - Ouest', 'Séjour vue Jardin', 'Salle de bain 1', 'Salle d’eau 1', 'Toilettes 2', 'Dont toilette séparée 1', 'Travaux faits Aucun', 'Travaux à prévoir Aucun', 'Terrain 759 m²', 'Cave Oui', 'Place parking 1', 'Nature du chauffage Gaz']}",,69330,515000,,https://www.proprioo.fr/nosannonces/annonce/Vente_Maison_6_pi%C3%A8ces_de_130m2_-_69330_Meyzieu/16941?status=PUBLISHED&page=1,6,16941,Vente Maison 6 pièces de 130m2 - 69330 Meyzieu,https://www.proprioo.fr/nosannonces/annonce/Vente_Maison_6_pi%C3%A8ces_de_130m2_-_69330_Meyzieu/16941?status=PUBLISHED&page=1,www.proprioo.fr
,True,Proprioo,102,3,Treilli%C3%A8res,"Proprioo vous propose à la vente cette maison familiale de 102 m² habitable et son jardin arboré et sans vis-à-vis de 800 m² . Ce bien est localisé à proximité du rond-point Ragon à Treillières.
La maison se compose d’une grande pièce de vie lumineuse, salon et séjour dotés d'une cheminée, d’une cuisine spacieuse semi-ouverte aménagée et équipée. Celle-ci dispose d'une arrière-cuisine / buanderie qui donne un accès direct au garage et sa mezzanine, mais aussi au jardin et sa terrasse.
Au rez-de-chaussée, vous trouverez également une chambre avec une salle d'eau attenante et son WC.
L'étage de cette maison distribue deux belles chambres avec placards intégrés dont une avec un espace dressing ainsi qu'une salle de bain avec son WC.
Il est possible de stationner plusieurs véhicules devant la maison et une voiture dans le garage.
Ce bien aux portes de Nantes donne un accès rapide au périphérique, et de multiples lignes de bus sont à proximité (300, 322, 324).
Cette maison est équipée de chauffages électriques individuels, l'ensemble des vitres en double vitrage.
Taxe foncière : 924€ par an
Ce bien est commercialisé par Proprioo.",True,800,"{'spider': 'proprioo', 'added_from': 'SCRAPY', 'ref': 'https://www.proprioo.fr/nosannonces?status=PUBLISHED&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 55, 241055)}","{'assets': [""Consommation d'électricité 227 kWhEP/m²/an, niveau D"", 'Émission de gaz à effet de serre 7 kgeqCO2/m²/an, niveau B', 'Surface 102 m²', 'Pièces 5', 'Chambres 3', 'Nombre d’étages 1', 'État du bien Bon état', 'Date de construction 1997', 'Box Oui', 'Taxe foncière 924 €/an', 'Fenêtres Double vitrage', 'Luminosité Très lumineux', 'Salle de bain 1', 'Salle d’eau 1', 'Toilettes 2', 'Travaux faits Cuisine isolation\nLes sols\nPeinture murs\nInsert fermé\nSDB bas grenier dans le garage mitoyen\n2 ch refaites', ""Travaux à prévoir SDE étage d'origine\n1 ch en haut"", 'Terrain 800 m²', 'Nature du chauffage Électrique']}",,44119,394000,,https://www.proprioo.fr/nosannonces/annonce/Vente_Maison_5_pi%C3%A8ces_de_102m2_-_44119_Treilli%C3%A8res/16786?status=PUBLISHED&page=1,5,16786,Vente Maison 5 pièces de 102m2 - 44119 Treillières,https://www.proprioo.fr/nosannonces/annonce/Vente_Maison_5_pi%C3%A8ces_de_102m2_-_44119_Treilli%C3%A8res/16786?status=PUBLISHED&page=1,www.proprioo.fr
,True,Proprioo,78,3,Carri%C3%A8res-sur-Seine,"Proprioo vous propose à la vente cet appartement 4 pièces de 78,8 m² pondérés (77 m² appartement + balcon 3,63 m²) localisé Rue Henry de Montherlant, Carrières-sur-Seine.
Situé en rez-de-chaussée surélevé dans un immeuble de 1998, il se compose d’une entrée directe sur le séjour avec balcon et placards, d’une cuisine indépendante équipée, de 3 chambres, d’une salle de bain, d’une salle d’eau d’un WC séparé.
Vous serez séduit par sa belle pièce à vivre et son plan sans perte d’espace.
Orienté sud et traversant, vous bénéficierez d’une belle luminosité tout au long de la journée.
Chauffage individuel gaz, double fenêtres.
Copropriété bien entretenue.
Un parking double, accessible par ascenseur, complète ce bien.
Gare de Houilles : 12 minutes à pied.
Charges de copropriété : 145€ par mois.
Taxe foncière : 1300€ par an.
Ce bien est commercialisé par Proprioo.",True,,"{'spider': 'proprioo', 'added_from': 'SCRAPY', 'ref': 'https://www.proprioo.fr/nosannonces?status=PUBLISHED&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 6, 55, 241055)}","{'assets': [""Consommation d'électricité 142 kWhEP/m²/an, niveau C"", 'Émission de gaz à effet de serre 27 kgeqCO2/m²/an, niveau C', 'Surface 78.8 m²', 'Pièces 4', 'Chambres 3', 'Ascenseur Oui', 'État du bien À rafraîchir', 'Date de construction 1998', 'Parking Oui', 'Taxe foncière 1330 €/an', 'Fenêtres Double vitrage', 'Luminosité Lumineux', 'Cuisine Indépendante - Équipée', 'Orientation Sud', 'Orientation séjour Sud', 'Séjour vue Rue', 'Salle de bain 1', 'Salle d’eau 1', 'Toilette 1', 'Dont toilette séparée 1', 'Travaux faits Aucun', 'Travaux à prévoir Aucun', 'Balcon / Terrasse 3.63 m²', 'Parking Intérieur', 'Place parking 1', 'Parking accès rampe Oui', 'Interphone Oui', 'Digicode Oui', 'Charges d’électricité 200 €/mois', 'Nature du chauffage Gaz', 'Type de chauffage Individuel', 'Charges 145 €/mois', 'Nombre de lots 20', 'Procédure en cours Non', 'Travaux récents Aucun', 'Travaux votés Aucun']}",,78420,360000,,https://www.proprioo.fr/nosannonces/annonce/Vente_Appartement_4_pi%C3%A8ces_de_79m2_-_78420_Carri%C3%A8res-sur-Seine/17061?status=PUBLISHED&page=1,4,17061,Vente Appartement 4 pièces de 79m2 - 78420 Carrières-sur-Seine,https://www.proprioo.fr/nosannonces/annonce/Vente_Appartement_4_pi%C3%A8ces_de_79m2_-_78420_Carri%C3%A8res-sur-Seine/17061?status=PUBLISHED&page=1,www.proprioo.fr
